sampleID	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_LLI	pro_LLII_LLIII	pro_LLIV	pro_LLVII	pro	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pel_Ia	pel_Ib	pel_Ic	pel_IIa	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	sar11	bacteria	archaea	eukaryotes	viruses
tara_S0103	0.07897344081711853	0.38397741969805044	0.005776184229838151	0.38101163218315165	0.009354339372501345	0.00494549360573683	0.01571379586534033	0.11449457509423275	0.350922590201708	0.1797359325567361	0.17983194045681472	0.10091344659217673	0.05781961487116654	0.012229577748111845	0.42760250138729106	0.24769621504107842	0.010405047135013732	0.12429608361134269	0.023007751604301064	0.0033821839882531546	8.728602453223042e-4	0.02851185287043791	0.07702050052033456	0.2201313096065486	0.8522075340005815	0.08460771493167114	0.04980865069863379	0.0050054218130405935
tara_S0104	0.19974925533742416	0.5942704665583338	0.0073549755198035775	0.014234289460728031	0.0012930019865391037	0.001871792022266199	0.0019477167507080517	0.24227933125128326	0.2047649942329873	0.15464604959630912	0.3322159746251442	0.1157187139561707	0.08500937139561707	0.012867647058823529	0.4557918647091474	0.22655988890347814	0.003964588241489773	0.13020899504612596	0.0066247824425313415	0.0031016100138993126	6.848455466862003e-4	0.05033013687177612	0.07366284301821414	0.26386935442650744	0.9415460463016843	0.016372818923053728	0.022727161976940028	0.012302252874608769
tara_S0105	0.19755381448758702	0.5882675284013245	0.00748615638473543	0.014958582551099091	0.0013546331518574412	0.0019163461927452958	0.0021296549424495445	0.23797930547253882	0.1999769744416302	0.15910660833525214	0.33663366336633666	0.11178908588533272	0.08197098779645406	0.012664057103384757	0.45372981548668095	0.22546168049088555	0.004054549395528511	0.12935043004688015	0.006649016152150008	0.003122847354068338	6.843073459202005e-4	0.05125768427216594	0.07342901531236985	0.25707788875116083	0.9380684734273427	0.0168659418556317	0.025741310004572176	0.012110084206010768
tara_S0106	0.10983440351470092	0.3373436971949983	0.028185197701926325	0.16194660358229132	0.07340317674890165	0.09685704629942549	0.11929705981750592	6.739013779153751e-4	0.18356940509915015	0.18413597733711048	0.3393767705382436	0.07988668555240794	0.08555240793201133	0.0084985835694051	0.8159045957549855	0.042334029377816364	0.006430685191058272	0.07205717929494872	0.007903671083615216	0.00913697988786587	0.0010781923454725405	0.005484740706441127	0.0050080456691218795	0.2569398974257878	0.8841356054460705	0.05699388241484531	0.0490919047978453	0.002930047579395899
tara_S0107	0.11427694118550172	0.3329793631094792	0.02799350059492586	0.1654021826742237	0.07260654290502937	0.0960965187241719	0.11606811581223372	6.891948859748439e-4	0.18342151675485008	0.19113756613756613	0.33641975308641975	0.08675044091710758	0.07275132275132275	0.012896825396825396	0.8152800442624318	0.04235037649514797	0.006432721481351759	0.07174589164281459	0.00793009828797267	0.0089935075889297	0.0010827645035924119	0.005348763848829769	0.004994702838977375	0.26605232818049473	0.8928911118372724	0.054097702759251125	0.04284609650645357	0.0029317742561862804
tara_S0108	0.1114123351232991	0.35774985662895575	0.026276002293936708	0.13844429383243836	0.06707158125228091	0.09376466294770867	0.10825817214952296	8.538762480416793e-4	0.18540813869491934	0.19889236696364074	0.3426438718998314	0.08114615940284133	0.06742114134360704	0.00746448350589935	0.8173111849954258	0.04255009247903424	0.0063576852183769	0.06799702811251364	0.008219486488999884	0.008779646346183959	0.0010328878813915651	0.005831802613893872	0.005341985640513686	0.22403031058129225	0.9077956105792778	0.02734162406318622	0.05453126785887782	0.003561163877709305
tara_S0109	0.11809514907935321	0.31736610898214784	0.02780633704084494	0.16043555472474064	0.07411907654921021	0.09972894663052621	0.11982428264323769	7.692128505925362e-4	0.1747269890795632	0.1938377535101404	0.36349453978159124	0.07371294851794072	0.07254290171606864	0.010530421216848674	0.8175375513114659	0.04249864727648952	0.006409677975250616	0.06827564481992408	0.00828801723146606	0.008873247282418372	0.0010510686108531264	0.0058185842221457045	0.005155334356440772	0.2207008198418523	0.9048840163048104	0.027802094525108303	0.057194990820348	0.0035853701884474426
tara_S0110	0.10032487623762376	0.3060024752475248	0.031327351485148515	0.20583230198019803	0.05716274752475248	0.1125464108910891	0.11185024752475248	8.237510467334715e-4	0.16804979253112035	0.18049792531120332	0.4315352697095436	0.0656984785615491	0.06224066390041494	0.012448132780082987	0.811785815870153	0.05141150952762058	0.007724023680707362	0.06454957317039642	0.009590356555309888	0.01523359529145236	0.0015683994627200821	0.0027491355682005073	0.002626912884970209	0.25493043164988133	0.961738777379623	0.004474176283998368	0.02680644437367458	0.001816100892171829
tara_S0111	0.10368619521259154	0.3076565744890152	0.0337468575800634	0.20075964586293585	0.05400863482347797	0.11286752650562903	0.11191113782927097	8.32277673084805e-4	0.17348309119765595	0.16725674520815528	0.43645464534244904	0.07727994139909657	0.06580393114393847	0.010743498962275668	0.8113137164119434	0.051476944420289536	0.0077199095744583624	0.06429636918174564	0.009568870090710177	0.015152223379046611	0.0015708090989939633	0.0027305930087244057	0.0026047698594062313	0.26127157910019677	0.963477949576745	0.004480099134650456	0.024854800567884642	0.0018246157424744208
tara_S0112	0.10578333719403907	0.28144544822793605	0.024785730831596017	0.22585128561501042	0.061153578874218205	0.08362288626360899	0.15404215890664813	9.066740408461871e-4	0.19448621553884712	0.14736842105263157	0.2887218045112782	0.08170426065162907	0.08571428571428572	0.005012531328320802	0.8274030118718784	0.050565168370794944	0.00776899357279327	0.04395875711832386	0.009424809658393485	0.011267975927046344	0.0014327935288628827	0.009650360178620282	0.003839133886002329	0.24924106041168223	0.9522496906520023	0.005733027864947502	0.03323211338501093	0.0012347316854609065
tara_S0113	0.10843311246302682	0.2870539001046228	0.025936115524211777	0.22238152439260667	0.061068702290076333	0.08385321811911498	0.1478539414370778	9.127962489298334e-4	0.20608019568445882	0.1482484493753822	0.27692845286974754	0.07783698785708046	0.08360269066130864	0.0057657028042281825	0.8264400434092322	0.0506441347706939	0.007774670630384534	0.04359481899884129	0.00936715383410711	0.011250715871144571	0.0014231082057318374	0.009473885801387607	0.0038330278490523403	0.25671821210731594	0.9571375659438727	0.005682112731710282	0.028206136253064597	0.0012132534841467367
tara_S0114	0.10307546841175445	0.3108562044340491	0.018910647192017717	0.2561770633755505	0.054467640399114184	0.06852621364054841	0.12548209709124386	8.403629136590203e-4	0.2280388657545112	0.14842355740630578	0.3280785246876859	0.08724965298433472	0.0761451516954194	0.0058496926432678965	0.8638824836426646	0.044377670622702356	0.006413534562742456	0.02109912698032576	0.007455728074003907	0.008829588494141479	0.00106321362253103	0.008208060691560489	0.003142975049537786	0.35712406478286585	0.9730775754774035	0.004621107338572806	0.014494174461005333	6.321384270030566e-4
tara_S0115	0.10385268811311449	0.30514605140571055	0.01879761056612046	0.25335671617252153	0.052940209349482105	0.07140899873951882	0.13180248808023237	8.447298799480838e-4	0.21455301455301456	0.1604989604989605	0.3201663201663202	0.09064449064449065	0.07151767151767152	0.0079002079002079	0.8631868934790282	0.04467752411846779	0.006427651580883163	0.022526329248984463	0.007582200498245075	0.009033176760955724	0.0010652312079568783	0.008368464965699313	0.0031826653264085468	0.34467553058221223	0.9697637904340302	0.0049463478244606215	0.01758428827422153	6.908480297290106e-4
tara_S0116	0.41000417674596684	0.1657776578896991	0.014422825916708725	0.10361810619376621	0.032896225265832475	0.11450810114686483	0.05830041245366423	0.0018389971309615686	0.1921641791044776	0.1758955223880597	0.30014925373134327	0.14082089552238805	0.08529850746268657	0.013059701492537313	0.6731098406479467	0.034194267825822626	0.003193503318935018	0.12650151175159513	0.005562780097598392	0.005958516427637111	8.26575831054805e-4	0.026746335089354423	0.080629464205763	0.23499585200708914	0.9835990378173449	0.00683816750037513	0.0015856753641833442	0.0034799918689961697
tara_S0117	0.7328589457855589	0.06470646151642903	0.00424800622969308	0.039380431961189725	0.00801625448654261	0.028482049354206385	0.021300895965915702	0.01102864037899124	0.1769896629968905	0.19690730313471722	0.2853180939574754	0.1661484158332633	0.06933355744180184	0.016093789394066728	0.7056820501297103	0.034103030628351336	0.0025894092186472045	0.12094634750417398	0.0042139935338867535	0.010552014886920275	7.284867439106737e-4	0.022277477886700883	0.061943200550576866	0.343710341900882	0.9816273036611447	0.007932263933390459	0.0011759125049153475	0.004538856626638574
tara_S0118	0.8144001107128466	0.0560948827036837	0.004945072668168388	0.012101829697335854	0.0015860881762123184	0.002101987349685246	0.0025987571585875113	0.08740184304016381	0.20986369520521866	0.15922532172500445	0.2886260375155469	0.14853922887529508	0.0680001015305734	0.015991065309541336	0.5628231962266226	0.08650551883072236	0.0020827239270081147	0.12742865300678385	0.0029702774519635338	0.009614795508826036	6.666546306129435e-4	0.028234943703791874	0.13955410119365697	0.3554208691834632	0.9809255491155308	0.007518560484469213	0.0026889377452039456	0.003502637188266322
tara_S0119	0.47050572829494236	0.3813461389327608	0.0015482528995180796	0.0017883744947026286	0.0010835362438306934	3.6574537579112673e-4	0.0015578013031993462	0.09215870533766637	0.23009274064598656	0.14492058415947126	0.35177486408698433	0.11048928685641189	0.07968233663788508	0.01305830934868351	0.39737310229343936	0.295023834176051	0.0016153453106824962	0.029457058475096477	0.0016026499008573905	0.009120953129439875	4.6446952734756277e-4	0.034616985503278463	0.1943926393644437	0.3941852047403246	0.9808606540539733	0.008993201768755092	0.00669569578242489	2.4868675602152704e-4
tara_S0120	0.10685357492301419	0.20468003953483643	0.009350216175115052	0.5604839607078932	0.0065035862669440446	0.002032300659452984	0.012111186203603767	0.25467078980989166	0.2642050712567092	0.2092223896776923	0.19306734353930355	0.1265963353692393	0.0613944633933529	0.013008645990322837	0.21655186452762443	0.3455123526516458	0.018624008253330805	0.2146284617031002	0.04523448466307789	0.005088113623734808	0.0013928846079836663	0.03213931006637639	0.06165084170605746	0.24157216596154382	0.9362739421404016	0.03526322347944075	0.009607274930057218	0.012212034970004483
tara_S0121	0.10751644123089987	0.20551601404337724	0.009336709219681076	0.5588001670006176	0.006467507165650966	0.0020201363599217747	0.01194733152370557	0.2563869119007928	0.26439183751906703	0.2095689354904575	0.1903698098704044	0.12787206187919625	0.060792226666186236	0.013325886690928308	0.21673389498254444	0.34564662993564493	0.018724103633936277	0.21447637627666477	0.045180208835510376	0.005055293802457343	0.001416585472897188	0.03192457602949504	0.06160756524277908	0.2447789971331746	0.9377943998030679	0.03430578938467059	0.008893328438235959	0.012342013816521483
tara_S0122	0.05337367561782803	0.7670616208060844	0.001683449706738523	0.0014505913028750078	9.93182010088795e-4	3.103538790577096e-4	0.0013845031616293987	0.14640477046871786	0.2443130933190041	0.1629052480745119	0.31828765896471434	0.11203653949489521	0.06967580154039048	0.016120365394948953	0.33225750698994544	0.34075450481469227	0.0018615930674328483	0.055660507652181404	0.0019505798153420719	0.008317327034009135	5.153957257652473e-4	0.04651766486358986	0.17610331928813705	0.37433659834348315	0.9723121901510039	0.01627990996191945	0.006994837285675505	3.8747859428103017e-4
tara_S0123	0.053536626146259675	0.7671356107026625	0.0017329892003146179	0.0014657052293461316	0.0010323990561461184	3.160309154534879e-4	0.0014640567819480881	0.14502242348800304	0.23467910567797973	0.1524851214412096	0.3340839633263632	0.11516808750201062	0.06916519221489464	0.014315586295640984	0.33196176206133343	0.34033864530789953	0.0018618581107424925	0.05584049885084403	0.001958221648332033	0.008358127927169492	5.160022602469642e-4	0.04697542295555008	0.17603927567141273	0.3696441055701169	0.9711186321482776	0.016839105953811134	0.0076560236223148104	3.822598768141677e-4
tara_S0124	0.14397353066221938	0.6807534677999442	0.004614359286856293	0.0015566829368518864	0.0011158598922535207	3.8214025519253073e-4	0.0013685506441156738	0.2313919538476571	0.2381325268672031	0.15240049684074095	0.3281309067343522	0.10503861316627963	0.07466112221202138	0.014446184587136144	0.3048892769641972	0.344795019875427	0.0021545209867123503	0.08760898159090576	0.0023823537157155587	0.017301362836482228	6.244207321549381e-4	0.029338277739545098	0.17428915372885942	0.2935314757802442	0.9687934556085005	0.01846100386336112	0.006006764616533677	0.0023983551819840346
tara_S0125	0.037752246891959336	0.024669848209104405	0.027760359687691735	0.8563796433444516	0.0040713961020334985	0.004226315379653468	0.006328443116878377	0.15448815934429033	0.2114311671126823	0.1940019947268113	0.22084193271253222	0.14135898170183772	0.08083581028370546	0.016254061046540334	0.40475228247863604	0.2765364256395145	0.013993364226370762	0.1267230675989366	0.029368081039659707	0.003359689994393524	0.0011225654988657133	0.026294046107059637	0.06610672474973425	0.25080988132939575	0.9269790526143129	0.04150109495086841	0.008049199464104987	0.015428906683617174
tara_S0126	0.03792341265045851	0.024560603548333608	0.02774506855821195	0.8562891164014176	0.004111525479935587	0.0041550857293812474	0.006471507381354527	0.15383866274600277	0.2143089783953968	0.19009879491911844	0.22375420692650091	0.1412441645858213	0.07881880360438606	0.015796330474432744	0.4045183331395339	0.276406767129992	0.014023415602649789	0.12686850157151114	0.029588621599904198	0.003359094198685519	0.0011074771302176166	0.02621412468305111	0.06597092661016979	0.24911228696440862	0.9267562504968518	0.041716635568000426	0.008247510039581152	0.015283552877649379
tara_S0127	0.010417008173083345	0.02466860217325577	0.010871135816950131	0.02461638963666146	0.030063492872988755	0.6532820436229672	0.20585217538069617	0.011011160640003247	0.30909981065409864	0.17590883083329892	0.17606809374096774	0.13008240380815309	0.0820911809639535	0.013348591113129752	0.14510750228480496	0.3077745115067147	0.17076114065840658	0.13742997989082767	0.14087560297726967	0.0069873867211577454	0.0035154942454691173	0.0019973763108966872	0.036999757707763786	0.14810934075817028	0.9238328038292067	0.0660489674873427	0.0013197770971222643	3.5481961912096693e-4
