sampleID	RPK_prochlorococcus_TBDT	RPK_total_prochlorococcus_reads	RPK_prochlorococcus_marker_median	W	M	RA
S0203	209.7838452787258	106631.3135505494	494.4318512921558	461	8687413	0.42429274070930806
S0204	0.9101251422070534	23032.489878998058	106.78134136561413	2	11740532	0.00852326006180077
S0205	85.0967007963595	272010.0601217112	1239.8793245115958	187	9720804	0.06863305090588567
S0206	139.70420932878272	162420.29160733309	725.1630887720197	307	10578357	0.1926521240419941
S0214	0	25761.675477971185	112.74601938619352	0	11353764	0
S0220	7.281001137656427	24728.59918390722	108.66228436050588	16	8970493	0.06700578016103959
S0223	0	167370.81309435188	777.8763842418269	0	9747936	0
S0224	29.57906712172924	209273.3958199345	974.7637082287958	65	8489836	0.030344858832994693
S0226	2.7303754266211606	154476.5412023428	715.9001347469039	6	8937939	0.0038139054514725653
S0227	15.927189988623434	145599.71506008285	663.1185558410358	35	6734766	0.02401861605037265
S0229	1.8202502844141069	228498.53254186152	1061.4780679296834	4	10248689	0.001714826089590659
S0231	16.38225255972696	471836.58002750744	2193.5996701514828	36	20821885	0.007468205243938451
S0232	3.6405005688282137	202708.67700486866	934.7333907905104	8	10094256	0.003894694042917861
S0233	5.915813424345847	141273.23484045017	649.907957176212	13	9431536	0.0091025403813326
S0234	23.66325369738339	93922.11055139152	432.5660668256596	52	9176045	0.054704368909548724
S0238	10.921501706484642	228774.5481371227	1066.5287375990229	24	13360686	0.01024023199887816
S0239	21.843003412969285	175883.70502966258	819.7774793784763	48	16163467	0.02664503961432291
S0240	0	37298.88319402116	172.98162409790697	0	27613261	0
S0244	12.286689419795222	459108.7723585899	2100.90189582183	27	19687867	0.005848292794742288
S0245	5.005688282138794	248286.059861444	1121.7486155395181	11	10176066	0.004462397557523394
S0246	20.477815699658702	327893.4944127643	1506.1602668735184	45	10879336	0.013596040308622982
S0247	22.753128555176335	170906.42807058932	797.3909360440514	50	13577224	0.028534471018766824
S0248	6.370875995449374	140748.71273234172	659.4570510168352	14	10754217	0.00966078986588428
S0249	0	42647.47468787471	199.15957054269688	0	8549515	0
S0252	1013.424345847554	265538.4037371676	1225.8066038180982	2227	9864921	0.8267408110634878
S0253	376.3367463026166	442040.33744193637	2097.660883338857	827	15675597	0.17940781052445406
S0254	308.9874857792946	383012.3682915075	1820.0755714585694	679	13519543	0.16976629466636856
