sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0079	geotraces	GA03	KN204-1	1646816	846257	2011-12-03	23:12:00	22.33305	-35.86703	374.3	north atlantic	A	mesopelagic
S0080	geotraces	GA03	KN204-1	1646816	846260	2011-12-03	23:12:00	22.33305	-35.86703	499.6	north atlantic	A	mesopelagic
S0081	geotraces	GA03	KN204-1	1646816	846269	2011-12-03	23:12:00	22.33305	-35.86703	1055.2	north atlantic	A	mesopelagic
S0082	geotraces	GA03	KN204-1	1646459	844712	2011-11-19	19:31:00	31.75351	-64.17499	41.8	north atlantic	A	epipelagic
S0083	geotraces	GA03	KN204-1	1646459	844715	2011-11-19	19:31:00	31.75351	-64.17499	75.7	north atlantic	A	epipelagic
S0084	geotraces	GA03	KN204-1	1646459	844718	2011-11-19	19:31:00	31.75351	-64.17499	89.1	north atlantic	A	epipelagic
S0085	geotraces	GA03	KN204-1	1646459	844721	2011-11-19	19:31:00	31.75351	-64.17499	109.7	north atlantic	A	epipelagic
S0086	geotraces	GA03	KN204-1	1646459	844724	2011-11-19	19:31:00	31.75351	-64.17499	182.4	north atlantic	A	epipelagic
S0087	geotraces	GA03	KN204-1	1646459	844727	2011-11-19	19:31:00	31.75351	-64.17499	233.3	north atlantic	A	epipelagic
S0088	geotraces	GA03	KN204-1	1646459	844730	2011-11-19	19:31:00	31.75351	-64.17499	281.4	north atlantic	A	epipelagic
S0089	geotraces	GA03	KN204-1	1646459	844733	2011-11-19	19:31:00	31.75351	-64.17499	414.2	north atlantic	A	mesopelagic
S0090	geotraces	GA03	KN204-1	1646690	845942	2011-11-30	03:40:00	26.13688	-44.82622	39.7	north atlantic	A	epipelagic
S0091	geotraces	GA03	KN204-1	1646690	845945	2011-11-30	03:40:00	26.13688	-44.82622	60.7	north atlantic	A	epipelagic
S0092	geotraces	GA03	KN204-1	1646690	845948	2011-11-30	03:40:00	26.13688	-44.82622	89.9	north atlantic	A	epipelagic
S0093	geotraces	GA03	KN204-1	1646690	845951	2011-11-30	03:40:00	26.13688	-44.82622	110.7	north atlantic	A	epipelagic
S0094	geotraces	GA03	KN204-1	1646690	845954	2011-11-30	03:40:00	26.13688	-44.82622	135.6	north atlantic	A	epipelagic
S0095	geotraces	GA03	KN204-1	1646690	845957	2011-11-30	03:40:00	26.13688	-44.82622	185.7	north atlantic	A	epipelagic
S0096	geotraces	GA03	KN204-1	1646690	845960	2011-11-30	03:40:00	26.13688	-44.82622	234.8	north atlantic	A	epipelagic
S0097	geotraces	GA03	KN204-1	1646690	845963	2011-11-30	03:40:00	26.13688	-44.82622	284.8	north atlantic	A	epipelagic
S0098	geotraces	GA03	KN204-1	1646914	846713	2011-12-10	08:27:00	17.3999	-24.49991	48.1	north atlantic	A	epipelagic
S0099	geotraces	GA03	KN204-1	1646914	846716	2011-12-10	08:27:00	17.3999	-24.49991	71.6	north atlantic	A	epipelagic
S0100	geotraces	GA03	KN204-1	1646914	846719	2011-12-10	08:27:00	17.3999	-24.49991	89.3	north atlantic	A	epipelagic
S0101	geotraces	GA03	KN204-1	1646914	846722	2011-12-10	08:27:00	17.3999	-24.49991	135	north atlantic	A	epipelagic
S0102	geotraces	GA03	KN204-1	1646914	846725	2011-12-10	08:27:00	17.3999	-24.49991	183.7	north atlantic	A	epipelagic
S0103	geotraces	GA03	KN204-1	1646914	846728	2011-12-10	08:27:00	17.3999	-24.49991	234.5	north atlantic	A	epipelagic
S0104	geotraces	GA03	KN204-1	1646914	846731	2011-12-10	08:27:00	17.3999	-24.49991	285.9	north atlantic	A	epipelagic
S0105	geotraces	GA03	KN204-1	1646606	845645	2011-11-26	15:01:00	27.58305	-49.63297	40.1	north atlantic	A	epipelagic
S0106	geotraces	GA03	KN204-1	1646606	845648	2011-11-26	15:01:00	27.58305	-49.63297	69.4	north atlantic	A	epipelagic
S0107	geotraces	GA03	KN204-1	1646606	845651	2011-11-26	15:01:00	27.58305	-49.63297	99	north atlantic	A	epipelagic
S0108	geotraces	GA03	KN204-1	1646606	845654	2011-11-26	15:01:00	27.58305	-49.63297	113.8	north atlantic	A	epipelagic
S0109	geotraces	GA03	KN204-1	1646606	845657	2011-11-26	15:01:00	27.58305	-49.63297	133.7	north atlantic	A	epipelagic
S0110	geotraces	GA03	KN204-1	1646606	845660	2011-11-26	15:01:00	27.58305	-49.63297	183.8	north atlantic	A	epipelagic
S0111	geotraces	GA03	KN204-1	1646606	845663	2011-11-26	15:01:00	27.58305	-49.63297	233.6	north atlantic	A	epipelagic
S0112	geotraces	GA03	KN204-1	1646606	845666	2011-11-26	15:01:00	27.58305	-49.63297	285	north atlantic	A	epipelagic
S0114	geotraces	GA03	KN204-1	1646123	845123	2011-11-08	10:56:00	39.69225	-69.86286	30.2	north atlantic	A	epipelagic
S0115	geotraces	GA03	KN204-1	1646123	845126	2011-11-08	10:56:00	39.69225	-69.86286	57.8	north atlantic	A	epipelagic
S0116	geotraces	GA03	KN204-1	1646123	845834	2011-11-08	10:56:00	39.69225	-69.86286	89.2	north atlantic	A	epipelagic
S0117	geotraces	GA03	KN204-1	1646123	845129	2011-11-08	10:56:00	39.69225	-69.86286	109.9	north atlantic	A	epipelagic
S0118	geotraces	GA03	KN204-1	1646123	845132	2011-11-08	10:56:00	39.69225	-69.86286	135.4	north atlantic	A	epipelagic
S0119	geotraces	GA03	KN204-1	1646123	845135	2011-11-08	10:56:00	39.69225	-69.86286	185.8	north atlantic	A	epipelagic
S0120	geotraces	GA03	KN204-1	1646123	845141	2011-11-08	10:56:00	39.69225	-69.86286	285.9	north atlantic	A	epipelagic
S0122	geotraces	GA03	KN204-1	1701381	844343	2011-11-12	14:57:00	38.32433	-68.87553	39.4	north atlantic	A	epipelagic
S0123	geotraces	GA03	KN204-1	1701381	844346	2011-11-12	14:57:00	38.32433	-68.87553	65.6	north atlantic	A	epipelagic
S0124	geotraces	GA03	KN204-1	1701381	844349	2011-11-12	14:57:00	38.32433	-68.87553	90.8	north atlantic	A	epipelagic
S0125	geotraces	GA03	KN204-1	1701381	844352	2011-11-12	14:57:00	38.32433	-68.87553	111.1	north atlantic	A	epipelagic
S0126	geotraces	GA03	KN204-1	1701381	844355	2011-11-12	14:57:00	38.32433	-68.87553	135.2	north atlantic	A	epipelagic
S0127	geotraces	GA03	KN204-1	1701381	844358	2011-11-12	14:57:00	38.32433	-68.87553	184.1	north atlantic	A	epipelagic
S0128	geotraces	GA03	KN204-1	1701381	844361	2011-11-12	14:57:00	38.32433	-68.87553	236.7	north atlantic	A	epipelagic
S0129	geotraces	GA03	KN204-1	1701381	844364	2011-11-12	14:57:00	38.32433	-68.87553	285.3	north atlantic	A	epipelagic
S0130	geotraces	GA03	KN204-1	1701395	844529	2011-11-15	06:20:00	37.60731	-68.3895	39.6	north atlantic	A	epipelagic
S0131	geotraces	GA03	KN204-1	1701395	844532	2011-11-15	06:20:00	37.60731	-68.3895	64.6	north atlantic	A	epipelagic
S0132	geotraces	GA03	KN204-1	1701395	844535	2011-11-15	06:20:00	37.60731	-68.3895	89.6	north atlantic	A	epipelagic
S0133	geotraces	GA03	KN204-1	1701395	844538	2011-11-15	06:20:00	37.60731	-68.3895	111.1	north atlantic	A	epipelagic
S0134	geotraces	GA03	KN204-1	1701395	844541	2011-11-15	06:20:00	37.60731	-68.3895	139.6	north atlantic	A	epipelagic
S0135	geotraces	GA03	KN204-1	1701395	844544	2011-11-15	06:20:00	37.60731	-68.3895	160	north atlantic	A	epipelagic
S0136	geotraces	GA03	KN204-1	1701395	844547	2011-11-15	06:20:00	37.60731	-68.3895	232.9	north atlantic	A	epipelagic
S0137	geotraces	GA03	KN204-1	1701395	844550	2011-11-15	06:20:00	37.60731	-68.3895	284.7	north atlantic	A	epipelagic
S0138	geotraces	GA03	KN204-1	1701493	846488	2011-12-07	11:25:00	19.43336	-29.38323	50	north atlantic	A	epipelagic
S0139	geotraces	GA03	KN204-1	1701493	846491	2011-12-07	11:25:00	19.43336	-29.38323	74.5	north atlantic	A	epipelagic
S0140	geotraces	GA03	KN204-1	1701493	846494	2011-12-07	11:25:00	19.43336	-29.38323	84	north atlantic	A	epipelagic
S0141	geotraces	GA03	KN204-1	1701493	846497	2011-12-07	11:25:00	19.43336	-29.38323	123.8	north atlantic	A	epipelagic
S0142	geotraces	GA03	KN204-1	1701493	846500	2011-12-07	11:25:00	19.43336	-29.38323	183.9	north atlantic	A	epipelagic
S0143	geotraces	GA03	KN204-1	1701493	846503	2011-12-07	11:25:00	19.43336	-29.38323	233.1	north atlantic	A	epipelagic
S0144	geotraces	GA03	KN204-1	1701493	846506	2011-12-07	11:25:00	19.43336	-29.38323	283.3	north atlantic	A	epipelagic
S0145	geotraces	GA03	KN204-1	1701493	846509	2011-12-07	11:25:00	19.43336	-29.38323	389.4	north atlantic	A	mesopelagic
S0147	geotraces	GA02	PE321	1608932	633245	2010-06-17	19:56:00	24.7143	-67.0726	11	north atlantic	A	epipelagic
S0148	geotraces	GA02	PE321	1608932	633236	2010-06-17	19:56:00	24.7143	-67.0726	77	north atlantic	A	epipelagic
S0149	geotraces	GA02	PE321	1608932	633233	2010-06-17	19:56:00	24.7143	-67.0726	119	north atlantic	A	epipelagic
S0150	geotraces	GA02	PE321	1608932	633230	2010-06-17	19:56:00	24.7143	-67.0726	152	north atlantic	A	epipelagic
S0151	geotraces	GA02	PE321	1608932	633227	2010-06-17	19:56:00	24.7143	-67.0726	202	north atlantic	A	epipelagic
S0152	geotraces	GA02	PE321	1608967	633533	2010-06-19	21:44:00	22.3411	-63.5833	12	north atlantic	A	epipelagic
S0153	geotraces	GA02	PE321	1608967	633524	2010-06-19	21:44:00	22.3411	-63.5833	75	north atlantic	A	epipelagic
S0154	geotraces	GA02	PE321	1608967	633521	2010-06-19	21:44:00	22.3411	-63.5833	100	north atlantic	A	epipelagic
S0155	geotraces	GA02	PE321	1608967	633518	2010-06-19	21:44:00	22.3411	-63.5833	127	north atlantic	A	epipelagic
S0156	geotraces	GA02	PE321	1608967	633515	2010-06-19	21:44:00	22.3411	-63.5833	200	north atlantic	A	epipelagic
S0157	geotraces	GA02	PE319	1608582	631541	2010-05-11	13:26:00	47.8007	-39.399	9	north atlantic	A	epipelagic
S0158	geotraces	GA02	PE319	1608582	631535	2010-05-11	13:26:00	47.8007	-39.399	50	north atlantic	A	epipelagic
S0159	geotraces	GA02	PE319	1608582	631532	2010-05-11	13:26:00	47.8007	-39.399	75	north atlantic	A	epipelagic
S0160	geotraces	GA02	PE319	1608582	631529	2010-05-11	13:26:00	47.8007	-39.399	101	north atlantic	A	epipelagic
S0161	geotraces	GA02	PE319	1608582	631526	2010-05-11	13:26:00	47.8007	-39.399	152	north atlantic	A	epipelagic
S0162	geotraces	GA02	PE319	1608582	631523	2010-05-11	13:26:00	47.8007	-39.399	201	north atlantic	A	epipelagic
S0163	geotraces	GA02	PE321	1608862	633860	2010-06-13	00:53:00	31.6667	-64.167	10	north atlantic	A	epipelagic
S0164	geotraces	GA02	PE321	1608862	633851	2010-06-13	00:53:00	31.6667	-64.167	75	north atlantic	A	epipelagic
S0165	geotraces	GA02	PE321	1608862	633848	2010-06-13	00:53:00	31.6667	-64.167	100	north atlantic	A	epipelagic
S0166	geotraces	GA02	PE321	1608862	633845	2010-06-13	00:53:00	31.6667	-64.167	150	north atlantic	A	epipelagic
S0167	geotraces	GA02	PE321	1608862	633842	2010-06-13	00:53:00	31.6667	-64.167	202	north atlantic	A	epipelagic
