sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
tara_S0154	tara	NA	NA	TARA_123	TARA_B100000787	2011-08-01	NA	-8.9109	-140.2845	150	south pacific	D	epipelagic
tara_S0155	tara	NA	NA	TARA_123	TARA_B100000787	2011-07-31	NA	-8.9068	-140.283	5	south pacific	A	epipelagic
tara_S0156	tara	NA	NA	TARA_124	TARA_B100001063	2011-08-05	NA	-9.0714	-140.5973	120	south pacific	A	epipelagic
tara_S0157	tara	NA	NA	TARA_124	TARA_B100001057	2011-08-05	NA	-9.0714	-140.5973	120	south pacific	B	epipelagic
tara_S0158	tara	NA	NA	TARA_124	TARA_B100000989	2011-08-05	NA	-9.0714	-140.5973	120	south pacific	C	epipelagic
tara_S0159	tara	NA	NA	TARA_124	TARA_B100001027	2011-08-05	NA	-9.0714	-140.5973	120	south pacific	D	epipelagic
tara_S0160	tara	NA	NA	TARA_124	TARA_B100001027	2011-08-04	NA	-9.1504	-140.5216	5	south pacific	A	epipelagic
tara_S0161	tara	NA	NA	TARA_124	TARA_B100000886	2011-08-04	NA	-9.1504	-140.5216	5	south pacific	B	epipelagic
tara_S0162	tara	NA	NA	TARA_124	TARA_B100000963	2011-08-04	NA	-9.1504	-140.5216	5	south pacific	C	epipelagic
tara_S0163	tara	NA	NA	TARA_124	TARA_B100000963	2011-08-04	NA	-9.1504	-140.5216	5	south pacific	D	epipelagic
tara_S0164	tara	NA	NA	TARA_125	TARA_B100000963	2011-08-09	NA	-8.8999	-142.5461	140	south pacific	A	epipelagic
tara_S0165	tara	NA	NA	TARA_125	TARA_B100000900	2011-08-08	NA	-8.9111	-142.5571	5	south pacific	A	epipelagic
tara_S0166	tara	NA	NA	TARA_125	TARA_B100000900	2011-08-08	NA	-8.9111	-142.5571	5	south pacific	B	epipelagic
