abundance	stdev	clade	location	lat	lon	depth	date
1710	353	LLI	BATS	31.6667	-64.1667	140	2007-01-28T00:00:00Z
1230	94	LLI	BATS	31.6667	-64.1667	160	2007-01-28T00:00:00Z
63.7	2.81	LLI	BATS	31.6667	-64.1667	180	2007-01-28T00:00:00Z
8.75	9	LLI	BATS	31.6667	-64.1667	200	2007-01-28T00:00:00Z
2310	361	LLI	BATS	31.6667	-64.1667	1	2007-02-22T00:00:00Z
2290	NA	LLI	BATS	31.6667	-64.1667	10	2007-02-22T00:00:00Z
2280	93.8	LLI	BATS	31.6667	-64.1667	20	2007-02-22T00:00:00Z
2940	276	LLI	BATS	31.6667	-64.1667	40	2007-02-22T00:00:00Z
2530	277	LLI	BATS	31.6667	-64.1667	60	2007-02-22T00:00:00Z
2730	969	LLI	BATS	31.6667	-64.1667	80	2007-02-22T00:00:00Z
2480	1160	LLI	BATS	31.6667	-64.1667	100	2007-02-22T00:00:00Z
0.65	0.65	LLI	BATS	31.6667	-64.1667	120	2007-02-22T00:00:00Z
2340	347	LLI	BATS	31.6667	-64.1667	140	2007-02-22T00:00:00Z
492	60.7	LLI	BATS	31.6667	-64.1667	160	2007-02-22T00:00:00Z
4.42	0.737	LLI	BATS	31.6667	-64.1667	180	2007-02-22T00:00:00Z
0.65	NA	LLI	BATS	31.6667	-64.1667	200	2007-02-22T00:00:00Z
3120	389	LLI	BATS	31.6667	-64.1667	1	2007-03-07T00:00:00Z
3320	748	LLI	BATS	31.6667	-64.1667	10	2007-03-07T00:00:00Z
3000	387	LLI	BATS	31.6667	-64.1667	20	2007-03-07T00:00:00Z
4080	263	LLI	BATS	31.6667	-64.1667	40	2007-03-07T00:00:00Z
4450	380	LLI	BATS	31.6667	-64.1667	60	2007-03-07T00:00:00Z
2810	1790	LLI	BATS	31.6667	-64.1667	80	2007-03-07T00:00:00Z
4350	169	LLI	BATS	31.6667	-64.1667	100	2007-03-07T00:00:00Z
4120	637	LLI	BATS	31.6667	-64.1667	120	2007-03-07T00:00:00Z
3380	136	LLI	BATS	31.6667	-64.1667	140	2007-03-07T00:00:00Z
3720	4070	LLI	BATS	31.6667	-64.1667	160	2007-03-07T00:00:00Z
166	86.9	LLI	BATS	31.6667	-64.1667	180	2007-03-07T00:00:00Z
9.22	1.94	LLI	BATS	31.6667	-64.1667	200	2007-03-07T00:00:00Z
8800	2410	LLI	BATS	31.6667	-64.1667	1	2007-03-21T00:00:00Z
8710	4400	LLI	BATS	31.6667	-64.1667	10	2007-03-21T00:00:00Z
